date,narration,utr,credit,debit,reference
2026-03-02,PG SETTLEMENT UTR-001,UTR-001,976.40,,sett_001
2026-03-03,PG SETTLEMENT UTR-002,UTR-002,2441.00,,sett_002
2026-03-03,PG SETTLEMENT UTR-003,UTR-003,1460.00,,sett_003_FEE_MISMATCH
2026-03-04,PG SETTLEMENT UTR-004,UTR-004,488.20,,sett_004
2026-03-05,CHEQUE DEPOSIT HOOLI,CHQ-5000,5000.00,,OFFLINE_5000
2026-03-06,PG SETTLEMENT UTR-006,UTR-006,1171.68,,sett_006
2026-03-07,PG SETTLEMENT UTR-007,UTR-007,2929.00,,sett_007_TAX_MISMATCH
2026-03-08,PG SETTLEMENT UTR-008,UTR-008,781.12,,sett_008
2026-03-09,PG SETTLEMENT UTR-009,UTR-009,4393.80,,sett_009
2026-03-10,PG SETTLEMENT UTR-010,UTR-010,2148.08,,sett_010
2026-03-12,VIRTUAL ACC MATCH UTR-BANK-MATCH,UTR-BANK-MATCH,10000.00,,bank_match_utr
2026-03-13,UNKNOWN CREDIT,,2000.00,,unknown_001
2026-03-14,REFUND ADJUSTMENT,,,-480.00,ref_002_REFUND_MISMATCH
