txn_id,invoice_id,gross_amount,fee,tax,net_amount,currency,type,utr,created_at
TXN-001,INV-001,1000.00,20.00,3.60,976.40,INR,payment,UTR-001,2026-03-01 10:00:00
TXN-002,INV-002,2500.00,50.00,9.00,2441.00,INR,payment,UTR-002,2026-03-02 11:30:00
TXN-003,INV-003,1500.00,30.00,5.40,1464.60,INR,payment,UTR-003,2026-03-02 14:15:00
TXN-004,INV-004,500.00,10.00,1.80,488.20,INR,payment,UTR-004,2026-03-03 09:00:00
TXN-006,INV-006,1200.00,24.00,4.32,1171.68,INR,payment,UTR-006,2026-03-05 16:45:00
TXN-007,INV-007,3000.00,60.00,10.80,2929.20,INR,payment,UTR-007,2026-03-06 12:00:00
TXN-008,INV-008,800.00,16.00,2.88,781.12,INR,payment,UTR-008,2026-03-07 10:10:00
TXN-009,INV-009,4500.00,90.00,16.20,4393.80,INR,payment,UTR-009,2026-03-08 11:20:00
TXN-010,INV-010,2200.00,44.00,7.92,2148.08,INR,payment,UTR-010,2026-03-09 09:45:00
TXN-011,,500.00,10.00,1.80,488.20,INR,payment,UTR-011,2026-03-10 14:00:00
REF-002,INV-002,-500.00,-10.00,-1.80,-488.20,INR,refund,,2026-03-11 11:00:00
SETT-001,,10000.00,0,0,10000.00,INR,settlement,UTR-BANK-MATCH,2026-03-12 10:00:00
